ST # ,ROAD,PC,WARD,PLAN,LOT,CONTRACTOR ,BLG TYPE ,MUNICIPALITY ,DESCRIPTION,D.U.,VALUE,FT2,PERMIT#,APPL. TYPE,ISSUED DATE
270  ,WEST RIDGE DR ,K2S0T4,Ward 6,4M1501,9,CONTRACTOR UNKNOWN,Single,Goulbourn,Construct a deck and pergola (rear yard),0,"15,000",525,2100026,Construction, 2021-Jan-05
541  ,RICHMOND RD ,K2A0G3,Ward 15,4M-,,CONTRACTOR UNKNOWN,Industrial,Old Ottawa,Construct a temporary construction equipment storage OLRT-Confederation Line,0,"407,387",6265,2100027,Construction, 2021-Jan-05
140  ,WINTERHAVEN DR ,K1W0H4,Ward 2,4M-1614,50,CLARIDGE HOMES (CARSON) INC.,Single,Gloucester,Construct a 2 Storey Single with attached garage  Model: Lockport II 2018 D (contemporary),1,"576,240",3446,2100028,Construction, 2021-Jan-05
57  ,NETTLE CRES ,K1T0W9,Ward 20,4M-,,CLARIDGE HOMES (LEITRIM PHASE 2) INC.,Rowhouse,Gloucester,"Construct a 2 Storey Rowhouse with attached garages  Models: Whitney 2018 mid,Whitney 2018 mid,Whitney 2018 End,Whitney 2018 End",4,"772,556",5940,2100029,Construction, 2021-Jan-05
59  ,NETTLE CRES ,K1T0W9,Ward 20,4M-,,CLARIDGE HOMES (LEITRIM PHASE 2) INC.,Rowhouse,Gloucester,"Construct a 2 Storey Rowhouse with attached garages  Models: Whitney 2018 mid,Whitney 2018 mid,Whitney 2018 End,Whitney 2018 End",4,"772,556",5940,2100029,Construction, 2021-Jan-05
61  ,NETTLE CRES ,K1T0W9,Ward 20,4M-,,CLARIDGE HOMES (LEITRIM PHASE 2) INC.,Rowhouse,Gloucester,"Construct a 2 Storey Rowhouse with attached garages  Models: Whitney 2018 mid,Whitney 2018 mid,Whitney 2018 End,Whitney 2018 End",4,"772,556",5940,2100029,Construction, 2021-Jan-05
63  ,NETTLE CRES ,K1T0W9,Ward 20,4M-,,CLARIDGE HOMES (LEITRIM PHASE 2) INC.,Rowhouse,Gloucester,"Construct a 2 Storey Rowhouse with attached garages  Models: Whitney 2018 mid,Whitney 2018 mid,Whitney 2018 End,Whitney 2018 End",4,"772,556",5940,2100029,Construction, 2021-Jan-05
105  ,HEIRLOOM ST ,K4M0L3,Ward 22,4M-,120,CLARIDGE HOMES (RIVERS EDGE SOUTH) INC,Single,Gloucester,Construct a 2 Storey Single with attached garage  Model: Murray 2018 B,1,"388,117",2321,2100030,Construction, 2021-Jan-05
2685  ,IRIS ST ,K2C3S4,Ward 8,4M-,,CONTRACTOR UNKNOWN,Retail,Old Ottawa,Interior alterations to a 1 storey retail building (Linen Chest),0,"70,000",258,2100031,Construction, 2021-Jan-05
760  ,SOMERSET ST W,K1R6P9,Ward 14,4M-,,MCDONALD BROTHERS CONSTRUCTION INC.,Institutional,Old Ottawa,"Interior alterations to basement a church (Interior demolition, St. Luke's Anglican)",0,"10,500",1335,2100032,Construction, 2021-Jan-05
495  ,MARCH RD ,K2K3G1,Ward 4,4M-,,CONTRACTOR UNKNOWN,Office,Kanata,Interior alterations to a 5 storey office building (replace fire panel),0,"14,200",1,2100033,Construction, 2021-Jan-05
160  ,ELGIN ST ,K2P2P7,Ward 14,2996,50,CONTRACTOR UNKNOWN,Office,Old Ottawa,"Tenant fit- up to floors 5,6,7,17, and 19 (change mag locks)",0,"12,000",8073,2100034,Construction, 2021-Jan-05
2214  ,MCQUAIG ST ,K1H7N9,Ward 18,,19,TREVI POOLS,Single,Old Ottawa,Install an enclosure for a semi-inground pool (rear yard),0,0,0,2100035,Pool Enclosure, 2021-Jan-05
3615  ,DIAMONDVIEW RD ,K0A2H0,Ward 5,,9,CONTRACTOR UNKNOWN,Single,West Carleton,Interior alterations to a 2 storey detached dwelling,0,"100,000",1238,2100036,Construction, 2021-Jan-06
4443  ,FARMERS WAY ,K0A1K0,Ward 19,875,3,THE STOVE STORE,Single,Gloucester,Install a wood stove in a 1 storey detached dwelling,0,"5,500",0,2100038,Construction, 2021-Jan-06
10  ,CLOVELLY RD ,K1J6M2,Ward 11,555,22,CONTRACTOR UNKNOWN,Single,Gloucester,Interior alterations on the main floor of a 1 storey detached dwelling (update bathroom),0,"6,000",59,2100039,Construction, 2021-Jan-06
2285  ,IRIS ST ,K2C1C3,Ward 8,342696,25,CONTRACTOR UNKNOWN,Semi - Detached,Old Ottawa,Interior alterations to construct 2 secondary dwelling units in a 2 storey semi-detached building (4plex),2,"50,000",1200,2100040,Construction, 2021-Jan-06
2287  ,IRIS ST ,K2C1C3,Ward 8,342696,25,CONTRACTOR UNKNOWN,Semi - Detached,Old Ottawa,Interior alterations to construct 2 secondary dwelling units in a 2 storey semi-detached building (4plex),2,"50,000",1200,2100040,Construction, 2021-Jan-06
126  ,ABBEYHILL DR ,K2L1H2,Ward 23,773,222,***CONTRACTOR***,Single,Kanata,Install an enclosure for a hot tub (rear yard),0,0,0,2100041,Pool Enclosure, 2021-Jan-06
224  ,BREITLING CRT ,K2R0A3,Ward 3,4M1487,25,CONTRACTOR UNKNOWN,Single,Nepean,Construct a 2 storey single family dwelling,1,"1,012,102",7967,2100042,Construction, 2021-Jan-06
1529  ,CAVERLEY ST ,K1G0X9,Ward 18,605,244,***CONTRACTOR***,Single,Old Ottawa,Install an enclosure for a hot tub (rear yard),0,0,0,2100043,Pool Enclosure, 2021-Jan-06
140  ,RUSKIN ST ,K1Y4C1,Ward 15,207509,421,FLORAL DESIGN LANDSCAPING,Single,Old Ottawa,Install an enclosure for an inground pool (rear yard),0,0,0,2100044,Pool Enclosure, 2021-Jan-06
95  ,COUNTRY LANE W,K2L1J4,Ward 23,809,327,MERMAID POOLS (MERIVALE),Single,Kanata,Install an enclosure for a semi-inground pool (rear yard),0,0,0,2100045,Pool Enclosure, 2021-Jan-06
1051  ,BAXTER RD ,K2C3P2,Ward 8,4M-,,CONTRACTOR UNKNOWN,Office,Old Ottawa,PLUMBING ONLY: Install a Premise Isolation Backflow Prevention Device on the domestic cold water supply of a 2 storey office building,0,0,0,2100046,Construction, 2021-Jan-06
425  ,KILSPINDIE RIDGE ,K2J6A3,Ward 22,4M1518,97,JOEL EVAN POOLS,Single,Nepean,Install an enclosure for an inground pool (rear yard),0,0,0,2100047,Pool Enclosure, 2021-Jan-06
401  ,SOMERSET ST W,K2P0K1,Ward 14,100,,CONTRACTOR UNKNOWN,Apartment,Old Ottawa,Interior alterations to existing ground floor medical office in a 12 storey mixed use building,0,"30,000",713,2100048,Construction, 2021-Jan-06
247  ,SHEAF ROW ,K2S2V3,Ward 6,4M-,,RICHCRAFT GROUP OF COMPANIES,Rowhouse,Goulbourn,Construct a 3 storey block of 8 Rowhouse Dwelling Units,8,"1,573,726",12100,2100049,Construction, 2021-Jan-06
249  ,SHEAF ROW ,K2S2V3,Ward 6,4M-,,RICHCRAFT GROUP OF COMPANIES,Rowhouse,Goulbourn,Construct a 3 storey block of 8 Rowhouse Dwelling Units,8,"1,573,726",12100,2100049,Construction, 2021-Jan-06
251  ,SHEAF ROW ,K2S2V3,Ward 6,4M-,,RICHCRAFT GROUP OF COMPANIES,Rowhouse,Goulbourn,Construct a 3 storey block of 8 Rowhouse Dwelling Units,8,"1,573,726",12100,2100049,Construction, 2021-Jan-06
253  ,SHEAF ROW ,K2S2V3,Ward 6,4M-,,RICHCRAFT GROUP OF COMPANIES,Rowhouse,Goulbourn,Construct a 3 storey block of 8 Rowhouse Dwelling Units,8,"1,573,726",12100,2100049,Construction, 2021-Jan-06
926  ,ROGER GRIFFITHS AVE ,K2S2V7,Ward 6,4M-,,RICHCRAFT GROUP OF COMPANIES,Rowhouse,Goulbourn,Construct a 3 storey block of 8 Rowhouse Dwelling Units,8,"1,573,726",12100,2100049,Construction, 2021-Jan-06
928  ,ROGER GRIFFITHS AVE ,K2S2V7,Ward 6,4M-,,RICHCRAFT GROUP OF COMPANIES,Rowhouse,Goulbourn,Construct a 3 storey block of 8 Rowhouse Dwelling Units,8,"1,573,726",12100,2100049,Construction, 2021-Jan-06
930  ,ROGER GRIFFITHS AVE ,K2S2V7,Ward 6,4M-,,RICHCRAFT GROUP OF COMPANIES,Rowhouse,Goulbourn,Construct a 3 storey block of 8 Rowhouse Dwelling Units,8,"1,573,726",12100,2100049,Construction, 2021-Jan-06
932  ,ROGER GRIFFITHS AVE ,K2S2V7,Ward 6,4M-,,RICHCRAFT GROUP OF COMPANIES,Rowhouse,Goulbourn,Construct a 3 storey block of 8 Rowhouse Dwelling Units,8,"1,573,726",12100,2100049,Construction, 2021-Jan-06
60  ,CORN HUSK LANE ,K2S2T7,Ward 6,4M-,,RICHCRAFT GROUP OF COMPANIES,Rowhouse,Goulbourn,Construct a 3 storey block of 8 Rowhouse Dwelling Units,8,"1,515,199",11650,2100050,Construction, 2021-Jan-06
62  ,CORN HUSK LANE ,K2S2T7,Ward 6,4M-,,RICHCRAFT GROUP OF COMPANIES,Rowhouse,Goulbourn,Construct a 3 storey block of 8 Rowhouse Dwelling Units,8,"1,515,199",11650,2100050,Construction, 2021-Jan-06
64  ,CORN HUSK LANE ,K2S2T7,Ward 6,4M-,,RICHCRAFT GROUP OF COMPANIES,Rowhouse,Goulbourn,Construct a 3 storey block of 8 Rowhouse Dwelling Units,8,"1,515,199",11650,2100050,Construction, 2021-Jan-06
66  ,CORN HUSK LANE ,K2S2T7,Ward 6,4M-,,RICHCRAFT GROUP OF COMPANIES,Rowhouse,Goulbourn,Construct a 3 storey block of 8 Rowhouse Dwelling Units,8,"1,515,199",11650,2100050,Construction, 2021-Jan-06
901  ,ROGER GRIFFITHS AVE ,K2S2T5,Ward 6,4M-,,RICHCRAFT GROUP OF COMPANIES,Rowhouse,Goulbourn,Construct a 3 storey block of 8 Rowhouse Dwelling Units,8,"1,515,199",11650,2100050,Construction, 2021-Jan-06
903  ,ROGER GRIFFITHS AVE ,K2S2T5,Ward 6,4M-,,RICHCRAFT GROUP OF COMPANIES,Rowhouse,Goulbourn,Construct a 3 storey block of 8 Rowhouse Dwelling Units,8,"1,515,199",11650,2100050,Construction, 2021-Jan-06
905  ,ROGER GRIFFITHS AVE ,K2S2T5,Ward 6,4M-,,RICHCRAFT GROUP OF COMPANIES,Rowhouse,Goulbourn,Construct a 3 storey block of 8 Rowhouse Dwelling Units,8,"1,515,199",11650,2100050,Construction, 2021-Jan-06
907  ,ROGER GRIFFITHS AVE ,K2S2T5,Ward 6,4M-,,RICHCRAFT GROUP OF COMPANIES,Rowhouse,Goulbourn,Construct a 3 storey block of 8 Rowhouse Dwelling Units,8,"1,515,199",11650,2100050,Construction, 2021-Jan-06
619  ,DU BUISSON CRES ,K4A3A4,Ward 19,50M162,152,MERMAID POOLS (MERIVALE),Single,Cumberland,Install an enclosure for a semi inground pool (rear yard),0,0,0,2100051,Pool Enclosure, 2021-Jan-06
610  ,GAINSBOROUGH AVE ,K2A2Y8,Ward 15,M29,780,CONTRACTOR UNKNOWN,Single,Old Ottawa,Interior alterations on the first floor of a 2 storey detached dwelling (remove loadbearing walls and kitchen remodel),0,"80,000",1600,2100052,Construction, 2021-Jan-06
7  ,SENECA ST ,K1S4W4,Ward 17,189366,15 & 16,CONTRACTOR UNKNOWN,Single,Old Ottawa,PLUMBING ONLY: Replace lead pipe water service from meter to curb stop,0,0,0,2100053,Construction, 2021-Jan-06
2600  ,LEITRIM RD ,K1T3V3,Ward 22,,,CONTRACTOR UNKNOWN,Retail,Gloucester,Tenant fit-up on the 2nd floor of a 2 storey building (physio office),0,"75,000",5296,2100054,Construction, 2021-Jan-06
331  ,MONA AVE ,K1L7A3,Ward 12,238,178,CONTRACTOR UNKNOWN,Apartment,Vanier,Remove and replace the porch of a 2 storey apartment building (corner side yard),0,"10,000",250,2100056,Construction, 2021-Jan-06
462  ,WOLFFDALE CRES ,K1K1N4,Ward 13,4M-,,OGC LTD.,Single,Old Ottawa,"Interior alterations to a 1 storey detached dwelling (load bearing wall, kitchen and stairs to basement)",0,"30,000",0,2100057,Construction, 2021-Jan-06
56  ,COVINGTON PL ,K2G6B5,Ward 8,4M-868,,***CONTRACTOR***,Single,Nepean,Install an enclosure for a Hot Tub (rear yard),0,0,0,2100058,Pool Enclosure, 2021-Jan-06
423  ,KILSPINDIE RIDGE ,K2J6A3,Ward 22,4M-1518,96,JOEL EVAN POOLS,Single,Nepean,Install an enclosure for an inground pool (rear yard),0,0,0,2100059,Pool Enclosure, 2021-Jan-06
7950  ,IVESON DR ,K0A2P0,Ward 20,4M-923,12,CONTRACTOR UNKNOWN,Single,Osgoode,Construct a 3 season sunroom (rear yard),0,"10,000",324,2100060,Construction, 2021-Jan-06
267  ,HARMER AVE S,K1Y0V8,Ward 15,4M-,,CONTRACTOR UNKNOWN,Single,Old Ottawa,PLUMBING ONLY - Replace sanitary lateral and lead pipe water service from meter to curb stop,0,0,0,2100061,Construction, 2021-Jan-07
1688  ,CARLING AVE ,K2A1C6,Ward 15,4M-,,CONTRACTOR UNKNOWN,Retail,Old Ottawa,Concrete repairs in a 1 storey retail building (Meineke Car Care),0,"25,200",754,2100062,Construction, 2021-Jan-07
97  ,ABACA WAY ,K2S2C3,Ward 6,92,,IMPRESSIONS GROUP OTTAWA,Single,Goulbourn,Install an enclousre for an inground pool (rear yard),0,0,0,2100063,Pool Enclosure, 2021-Jan-07
504  ,ADAMSON CRES ,K2S2A6,Ward 6,4M1447,138,IMPRESSIONS GROUP OTTAWA,Single,Goulbourn,Install an enclosure for inground pool (rear yard),0,0,0,2100064,Pool Enclosure, 2021-Jan-07
556  ,ADAMSON CRES ,K2S0S7,Ward 6,4M-1447,128,IMPRESSIONS GROUP OTTAWA,Single,Goulbourn,Install an enclosure for an inground pool (rear yard),0,0,0,2100065,Pool Enclosure, 2021-Jan-07
63  ,ARIDUS CRES ,K2S2L4,Ward 21,4M-1647,79,TARTAN HOMES CORPORATION,Single,Goulbourn,Construct a 2 Storey Single with attached garage  Model: Cambridge 2019 A,1,"599,650",3586,2100066,Construction, 2021-Jan-07
53  ,JAMES LEWIS AVE ,K2S1K3,Ward 6,4M-687,5,CONTRACTOR UNKNOWN,Single,Goulbourn,Finish the basement in a 2 storey detached dwelling,0,"20,810",560,2100067,Construction, 2021-Jan-07
57  ,BALLYMORE AVE ,K1T4A9,Ward 10,4M-1114,38,CONTRACTOR UNKNOWN,Single,Old Ottawa,Interior alterations to a 2 storey detached dwelling (load bearing wall removal and renovations),0,"20,000",100,2100068,Construction, 2021-Jan-07
5340  -25,CANOTEK RD ,K1J9C6,Ward 11,,14,CONTRACTOR UNKNOWN,Industrial,Gloucester,Alteration to create new opening in a 1 storey warehouse,0,"10,000",172,2100069,Construction, 2021-Jan-07
5340  -26,CANOTEK RD ,K1J9C6,Ward 11,,14,CONTRACTOR UNKNOWN,Industrial,Gloucester,Alteration to create new opening in a 1 storey warehouse,0,"10,000",172,2100069,Construction, 2021-Jan-07
470  ,BRIERWOOD AVE ,K2A2H3,Ward 15,283,225,CONTRACTOR UNKNOWN,Single,Old Ottawa,Construct a rear deck and a side porch,0,"30,000",108,2100070,Construction, 2021-Jan-07
1385  ,WOODROFFE AVE ,K2G1V8,Ward 8,4M-,,CONTRACTOR UNKNOWN,Institutional,Nepean,PLUMBING ONLY- Install a premise isolation backflow prevention device on the water supply and fire protection system of an institutional building (Algonquin College - Building A),0,"550,000",3229,2100071,Construction, 2021-Jan-07
820  ,SOMERSET ST W,K1R6R5,Ward 14,55,3 & 4,CONTRACTOR UNKNOWN,Retail,Old Ottawa,Exterior alterations to extend the patio & relocate stairs on a 2 storey mixed-use building (Karuna Cafe),0,"1,000",33,2100072,Construction, 2021-Jan-07
1225  ,NEWMARKET ST ,K1B5N6,Ward 18,4M-,,C&L CONSTRUCTION OTTAWA LTD.,Retail,Old Ottawa,PLUMBING ONLY: Install Premise Isolation Backflow Prevention Devices on the domestic cold water supply (Carleton Condo Corp.),0,0,0,2100073,Construction, 2021-Jan-07
1227  ,NEWMARKET ST ,K1B5N6,Ward 18,4M-,,C&L CONSTRUCTION OTTAWA LTD.,Retail,Old Ottawa,PLUMBING ONLY: Install Premise Isolation Backflow Prevention Devices on the domestic cold water supply (Carleton Condo Corp.),0,0,0,2100073,Construction, 2021-Jan-07
1229  ,NEWMARKET ST ,K1B5N6,Ward 18,4M-,,C&L CONSTRUCTION OTTAWA LTD.,Retail,Old Ottawa,PLUMBING ONLY: Install Premise Isolation Backflow Prevention Devices on the domestic cold water supply (Carleton Condo Corp.),0,0,0,2100073,Construction, 2021-Jan-07
1231  ,NEWMARKET ST ,K1B5N6,Ward 18,4M-,,C&L CONSTRUCTION OTTAWA LTD.,Retail,Old Ottawa,PLUMBING ONLY: Install Premise Isolation Backflow Prevention Devices on the domestic cold water supply (Carleton Condo Corp.),0,0,0,2100073,Construction, 2021-Jan-07
1233  ,NEWMARKET ST ,K1B5N6,Ward 18,4M-,,C&L CONSTRUCTION OTTAWA LTD.,Retail,Old Ottawa,PLUMBING ONLY: Install Premise Isolation Backflow Prevention Devices on the domestic cold water supply (Carleton Condo Corp.),0,0,0,2100073,Construction, 2021-Jan-07
1235  ,NEWMARKET ST ,K1B5N6,Ward 18,4M-,,C&L CONSTRUCTION OTTAWA LTD.,Retail,Old Ottawa,PLUMBING ONLY: Install Premise Isolation Backflow Prevention Devices on the domestic cold water supply (Carleton Condo Corp.),0,0,0,2100073,Construction, 2021-Jan-07
1237  ,NEWMARKET ST ,K1B5N6,Ward 18,4M-,,C&L CONSTRUCTION OTTAWA LTD.,Retail,Old Ottawa,PLUMBING ONLY: Install Premise Isolation Backflow Prevention Devices on the domestic cold water supply (Carleton Condo Corp.),0,0,0,2100073,Construction, 2021-Jan-07
1239  ,NEWMARKET ST ,K1B5N6,Ward 18,4M-,,C&L CONSTRUCTION OTTAWA LTD.,Retail,Old Ottawa,PLUMBING ONLY: Install Premise Isolation Backflow Prevention Devices on the domestic cold water supply (Carleton Condo Corp.),0,0,0,2100073,Construction, 2021-Jan-07
1241  ,NEWMARKET ST ,K1B5N7,Ward 18,4M-,,C&L CONSTRUCTION OTTAWA LTD.,Retail,Old Ottawa,PLUMBING ONLY: Install Premise Isolation Backflow Prevention Devices on the domestic cold water supply (Carleton Condo Corp.),0,0,0,2100073,Construction, 2021-Jan-07
330  ,FIFTH AVE ,K1S2N5,Ward 17,33446,18 W35 N70,CONTRACTOR UNKNOWN,Semi - Detached,Old Ottawa,Interior alterations to convert a mixed-use building (commercial + 2 res units) into a semi-detached dwelling (2 units only),0,"25,000",880,2100074,Construction, 2021-Jan-07
332  ,FIFTH AVE ,K1S2N5,Ward 17,33446,18 W35 N70,CONTRACTOR UNKNOWN,Semi - Detached,Old Ottawa,Interior alterations to convert a mixed-use building (commercial + 2 res units) into a semi-detached dwelling (2 units only),0,"25,000",880,2100074,Construction, 2021-Jan-07
725 A ,DEARBORN PRIV ,K1T0W4,Ward 10,4M1290,,VALECRAFT HOMES LIMITED,Apartment,Gloucester,Construct a 2 storey 12 unit apartment building,12,"2,525,356",15102,2100075,Construction, 2021-Jan-07
725 B ,DEARBORN PRIV ,K1T0W4,Ward 10,4M1290,,VALECRAFT HOMES LIMITED,Apartment,Gloucester,Construct a 2 storey 12 unit apartment building,12,"2,525,356",15102,2100075,Construction, 2021-Jan-07
725 C ,DEARBORN PRIV ,K1T0W4,Ward 10,4M1290,,VALECRAFT HOMES LIMITED,Apartment,Gloucester,Construct a 2 storey 12 unit apartment building,12,"2,525,356",15102,2100075,Construction, 2021-Jan-07
725 D ,DEARBORN PRIV ,K1T0W4,Ward 10,4M1290,,VALECRAFT HOMES LIMITED,Apartment,Gloucester,Construct a 2 storey 12 unit apartment building,12,"2,525,356",15102,2100075,Construction, 2021-Jan-07
725 E ,DEARBORN PRIV ,K1T0W4,Ward 10,4M1290,,VALECRAFT HOMES LIMITED,Apartment,Gloucester,Construct a 2 storey 12 unit apartment building,12,"2,525,356",15102,2100075,Construction, 2021-Jan-07
725 F ,DEARBORN PRIV ,K1T0W4,Ward 10,4M1290,,VALECRAFT HOMES LIMITED,Apartment,Gloucester,Construct a 2 storey 12 unit apartment building,12,"2,525,356",15102,2100075,Construction, 2021-Jan-07
725 G ,DEARBORN PRIV ,K1T0W4,Ward 10,4M1290,,VALECRAFT HOMES LIMITED,Apartment,Gloucester,Construct a 2 storey 12 unit apartment building,12,"2,525,356",15102,2100075,Construction, 2021-Jan-07
725 H ,DEARBORN PRIV ,K1T0W4,Ward 10,4M1290,,VALECRAFT HOMES LIMITED,Apartment,Gloucester,Construct a 2 storey 12 unit apartment building,12,"2,525,356",15102,2100075,Construction, 2021-Jan-07
725 I ,DEARBORN PRIV ,K1T0W4,Ward 10,4M1290,,VALECRAFT HOMES LIMITED,Apartment,Gloucester,Construct a 2 storey 12 unit apartment building,12,"2,525,356",15102,2100075,Construction, 2021-Jan-07
725 J ,DEARBORN PRIV ,K1T0W4,Ward 10,4M1290,,VALECRAFT HOMES LIMITED,Apartment,Gloucester,Construct a 2 storey 12 unit apartment building,12,"2,525,356",15102,2100075,Construction, 2021-Jan-07
725 K ,DEARBORN PRIV ,K1T0W4,Ward 10,4M1290,,VALECRAFT HOMES LIMITED,Apartment,Gloucester,Construct a 2 storey 12 unit apartment building,12,"2,525,356",15102,2100075,Construction, 2021-Jan-07
725 L ,DEARBORN PRIV ,K1T0W4,Ward 10,4M1290,,VALECRAFT HOMES LIMITED,Apartment,Gloucester,Construct a 2 storey 12 unit apartment building,12,"2,525,356",15102,2100075,Construction, 2021-Jan-07
500  ,ALBERT BOYD PRIV ,K0A1L0,Ward 5,4M-1593,49,DCR PHOENIX DEVELOPMENT CORPORATION LIMITED,Single,West Carleton,Construct a 2 storey detached dwelling,1,"475,406",2843,2100076,Construction, 2021-Jan-07
157  ,MINIKAN ST ,K1X0E5,Ward 22,4M1617,120,DCR PHOENIX HOMES,Single,Gloucester,Construct a 2 storey detached dwelling,1,"494,971",2960,2100077,Construction, 2021-Jan-07
126  ,MINIKAN ST ,K1X0E6,Ward 22,4m-1617,215,RICHCRAFT HOMES LIMITED,Single,Gloucester,Construct a 2 Storey Single with attached garage  Model: 35-18 Baldwin 2012 C&D,1,"397,314",2673,2100078,Construction, 2021-Jan-07
